PID,ACTIGRAPH_OFFSET
SPADES_1,-12
SPADES_2,0
SPADES_3,0
SPADES_4,-1
SPADES_6,0
SPADES_7,0
SPADES_8,0
SPADES_9,-1
SPADES_10,-2.5
SPADES_11,1
SPADES_12,0
SPADES_13,-1
SPADES_14,2
SPADES_15,2
SPADES_16,0
SPADES_17,0
SPADES_18,-4
SPADES_19,-6
SPADES_20,0
SPADES_21,0
SPADES_22,-3
SPADES_23,3
SPADES_24,0
SPADES_25,0
SPADES_26,0
SPADES_27,-4
SPADES_28,-3
SPADES_29,-4.5
SPADES_30,-5
SPADES_31,-5
SPADES_32,-7
SPADES_33,0
SPADES_34,-7.5
SPADES_35,0
SPADES_36,-1
SPADES_37,-2
SPADES_38,-4.5
SPADES_39,-10
SPADES_40,-6.5
SPADES_41,-11
SPADES_42,0
SPADES_43,0
SPADES_44,0
SPADES_45,0
SPADES_46,0
SPADES_47,-4
SPADES_48,-3
SPADES_49,0
SPADES_50,0
SPADES_51,0
