HEADER_TIME_STAMP,START_TIME,STOP_TIME,LABEL_NAME
2015-12-15 12:54:00.000,2015-12-15 12:53:50.000,2015-12-15 12:54:00.000,Still
2015-12-15 12:54:12.000,2015-12-15 12:54:00.000,2015-12-15 12:54:12.000,Jumping Jacks
2015-12-15 12:54:25.000,2015-12-15 12:54:12.000,2015-12-15 12:54:25.000,Still
2015-12-15 12:54:35.000,2015-12-15 12:54:25.000,2015-12-15 12:54:35.000,Jumping Jacks
2015-12-15 12:54:49.000,2015-12-15 12:54:35.000,2015-12-15 12:54:49.000,Still
2015-12-15 12:55:37.000,2015-12-15 12:55:36.000,2015-12-15 12:55:37.000,Reclining
2015-12-15 12:56:41.000,2015-12-15 12:55:37.000,2015-12-15 12:56:41.000,Reclining
2015-12-15 12:56:41.000,2015-12-15 12:55:37.000,2015-12-15 12:56:41.000,Telling Story
2015-12-15 12:57:42.000,2015-12-15 12:57:17.000,2015-12-15 12:57:42.000,Sitting
2015-12-15 12:57:43.000,2015-12-15 12:57:42.000,2015-12-15 12:57:43.000,Sitting
2015-12-15 12:57:43.000,2015-12-15 12:57:42.000,2015-12-15 12:57:43.000,Web Browsing
2015-12-15 12:58:31.000,2015-12-15 12:57:43.000,2015-12-15 12:58:31.000,Sitting
2015-12-15 12:58:31.000,2015-12-15 12:57:43.000,2015-12-15 12:58:31.000,Web Browsing
2015-12-15 12:58:31.000,2015-12-15 12:57:43.000,2015-12-15 12:58:31.000,Arms On Desk
2015-12-15 12:58:38.000,2015-12-15 12:58:32.000,2015-12-15 12:58:38.000,Sitting
2015-12-15 12:58:39.000,2015-12-15 12:58:38.000,2015-12-15 12:58:39.000,Sitting
2015-12-15 12:58:39.000,2015-12-15 12:58:38.000,2015-12-15 12:58:39.000,Arms On Desk
2015-12-15 12:59:59.000,2015-12-15 12:58:39.000,2015-12-15 12:59:59.000,Sitting
2015-12-15 12:59:59.000,2015-12-15 12:58:39.000,2015-12-15 12:59:59.000,Arms On Desk
2015-12-15 12:59:59.000,2015-12-15 12:58:39.000,2015-12-15 12:59:59.000,Writing
