HEADER_TIME_STAMP,START_TIME,STOP_TIME,LABEL_NAME
2016-02-26 17:00:37.000,2016-02-26 17:00:00.000,2016-02-26 17:00:37.000,Frisbee
2016-02-26 17:01:28.000,2016-02-26 17:01:24.000,2016-02-26 17:01:28.000,Walking
2016-02-26 17:02:37.000,2016-02-26 17:01:28.000,2016-02-26 17:02:37.000,Walking
2016-02-26 17:02:37.000,2016-02-26 17:01:28.000,2016-02-26 17:02:37.000,Stairs
2016-02-26 17:02:37.000,2016-02-26 17:01:28.000,2016-02-26 17:02:37.000,Up
2016-02-26 17:02:38.000,2016-02-26 17:02:37.000,2016-02-26 17:02:38.000,Up
2016-02-26 17:03:59.000,2016-02-26 17:03:58.000,2016-02-26 17:03:59.000,Walking
2016-02-26 17:03:59.000,2016-02-26 17:03:58.000,2016-02-26 17:03:59.000,Stairs
2016-02-26 17:04:04.000,2016-02-26 17:03:59.000,2016-02-26 17:04:04.000,Walking
2016-02-26 17:04:04.000,2016-02-26 17:03:59.000,2016-02-26 17:04:04.000,Stairs
2016-02-26 17:04:04.000,2016-02-26 17:03:59.000,2016-02-26 17:04:04.000,Bag
2016-02-26 17:05:17.000,2016-02-26 17:04:04.000,2016-02-26 17:05:17.000,Walking
2016-02-26 17:05:17.000,2016-02-26 17:04:04.000,2016-02-26 17:05:17.000,Stairs
2016-02-26 17:05:17.000,2016-02-26 17:04:04.000,2016-02-26 17:05:17.000,Bag
2016-02-26 17:05:17.000,2016-02-26 17:04:04.000,2016-02-26 17:05:17.000,Down
2016-02-26 17:06:55.000,2016-02-26 17:06:52.000,2016-02-26 17:06:55.000,Biking
2016-02-26 17:14:31.000,2016-02-26 17:06:55.000,2016-02-26 17:14:31.000,Biking
2016-02-26 17:14:31.000,2016-02-26 17:06:55.000,2016-02-26 17:14:31.000,Outdoors
2016-02-26 17:14:40.000,2016-02-26 17:14:31.000,2016-02-26 17:14:40.000,Biking
2016-02-26 17:14:40.000,2016-02-26 17:14:31.000,2016-02-26 17:14:40.000,Outdoors
2016-02-26 17:14:56.000,2016-02-26 17:14:55.000,2016-02-26 17:14:56.000,Standing
2016-02-26 17:15:34.000,2016-02-26 17:14:56.000,2016-02-26 17:15:34.000,Standing
2016-02-26 17:15:34.000,2016-02-26 17:14:56.000,2016-02-26 17:15:34.000,Elevator
2016-02-26 17:15:34.000,2016-02-26 17:14:56.000,2016-02-26 17:15:34.000,Up
2016-02-26 17:17:01.000,2016-02-26 17:16:38.000,2016-02-26 17:17:01.000,Wear ON
2016-02-26 17:17:03.000,2016-02-26 17:17:01.000,2016-02-26 17:17:03.000,Standing
2016-02-26 17:17:03.000,2016-02-26 17:17:01.000,2016-02-26 17:17:03.000,Wear ON
2016-02-26 17:17:42.000,2016-02-26 17:17:03.000,2016-02-26 17:17:42.000,Standing
2016-02-26 17:17:42.000,2016-02-26 17:17:03.000,2016-02-26 17:17:42.000,Shelf unload
2016-02-26 17:17:42.000,2016-02-26 17:17:03.000,2016-02-26 17:17:42.000,Wear ON
2016-02-26 17:17:43.000,2016-02-26 17:17:42.000,2016-02-26 17:17:43.000,Wear ON
2016-02-26 17:17:44.000,2016-02-26 17:17:43.000,2016-02-26 17:17:44.000,Standing
2016-02-26 17:17:44.000,2016-02-26 17:17:43.000,2016-02-26 17:17:44.000,Wear ON
2016-02-26 17:18:28.000,2016-02-26 17:17:44.000,2016-02-26 17:18:28.000,Shelf reload
2016-02-26 17:18:28.000,2016-02-26 17:17:44.000,2016-02-26 17:18:28.000,Standing
2016-02-26 17:18:28.000,2016-02-26 17:17:44.000,2016-02-26 17:18:28.000,Wear ON
2016-02-26 17:18:50.000,2016-02-26 17:18:28.000,2016-02-26 17:18:50.000,Wear ON
2016-02-26 17:20:18.000,2016-02-26 17:18:50.000,2016-02-26 17:20:18.000,Lying
