HEADER_TIME_STAMP,START_TIME,STOP_TIME,LABEL_NAME,LABEL_ID,RATING_TIME_STAMP,RATING_INTENSITY,RATING_CONFIDENCE
2016-03-03 14:02:21.530,2016-03-03 14:02:09.095,2016-03-03 14:02:21.506,Still,l13011419151518,2016-03-03 14:02:09.095,,
2016-03-03 14:02:22.041,2016-03-03 14:02:08.712,2016-03-03 14:02:22.028,Standing,l13011419151518,2016-03-03 14:02:08.712,,
2016-03-03 14:02:32.554,2016-03-03 14:02:22.723,2016-03-03 14:02:32.549,Jumping Jacks,l13011419151518,2016-03-03 14:02:22.723,,
2016-03-03 14:02:43.232,2016-03-03 14:02:33.022,2016-03-03 14:02:43.219,Still,l13011419151518,2016-03-03 14:02:33.022,,
2016-03-03 14:02:43.400,2016-03-03 14:02:32.561,2016-03-03 14:02:43.385,Standing,l13011419151518,2016-03-03 14:02:32.561,,
2016-03-03 14:02:52.497,2016-03-03 14:02:43.409,2016-03-03 14:02:52.481,Jumping Jacks,l13011419151518,2016-03-03 14:02:43.409,,
2016-03-03 14:03:03.862,2016-03-03 14:02:52.510,2016-03-03 14:03:03.852,Standing,l13011419151518,2016-03-03 14:02:52.510,,
2016-03-03 14:03:04.058,2016-03-03 14:02:52.839,2016-03-03 14:03:04.054,Still,l13011419151518,2016-03-03 14:02:52.839,,
2016-03-03 14:03:12.368,2016-03-03 14:03:03.872,2016-03-03 14:03:12.363,Jumping Jacks,l13011419151518,2016-03-03 14:03:03.872,,
2016-03-03 14:03:23.002,2016-03-03 14:03:12.371,2016-03-03 14:03:22.985,Standing,l13011419151518,2016-03-03 14:03:12.371,,
2016-03-03 14:03:23.024,2016-03-03 14:03:12.825,2016-03-03 14:03:22.985,Still,l13011419151518,2016-03-03 14:03:12.825,,
2016-03-03 14:08:55.421,2016-03-03 14:05:03.386,2016-03-03 14:08:55.409,Web Browsing,l13011419151518,2016-03-03 14:05:03.386,,
2016-03-03 14:08:55.838,2016-03-03 14:05:06.670,2016-03-03 14:08:55.834,Arms rested on the desk,l13011419151518,2016-03-03 14:05:06.670,,
2016-03-03 14:12:24.722,2016-03-03 14:09:20.896,2016-03-03 14:12:24.717,Writing,l13011419151518,2016-03-03 14:09:20.896,,
2016-03-03 14:12:25.258,2016-03-03 14:09:22.163,2016-03-03 14:12:25.254,Arms rested on the desk,l13011419151518,2016-03-03 14:09:22.163,,
2016-03-03 14:12:25.959,2016-03-03 14:04:33.753,2016-03-03 14:12:25.952,Sitting,l13011419151518,2016-03-03 14:04:33.753,,
2016-03-03 14:15:22.603,2016-03-03 14:12:57.664,2016-03-03 14:15:22.585,Story,l13011419151518,2016-03-03 14:12:57.664,,
2016-03-03 14:15:23.162,2016-03-03 14:12:41.589,2016-03-03 14:15:23.158,Sitting,l13011419151518,2016-03-03 14:12:41.589,,
2016-03-03 14:16:30.787,2016-03-03 14:15:57.468,2016-03-03 14:16:30.774,Web Browsing,l13011419151518,2016-03-03 14:15:57.468,,
2016-03-03 14:16:31.393,2016-03-03 14:15:23.609,2016-03-03 14:16:31.389,Standing,l13011419151518,2016-03-03 14:15:23.609,,
2016-03-03 14:16:31.393,2016-03-03 14:15:23.609,2016-03-03 14:16:31.389,Arms rested on the desk,l13011419151518,2016-03-03 14:15:23.609,,
2016-03-03 14:19:48.921,2016-03-03 14:16:44.241,2016-03-03 14:19:48.916,Standing,l13011419151518,2016-03-03 14:16:44.241,,
2016-03-03 14:19:49.471,2016-03-03 14:16:53.951,2016-03-03 14:19:49.449,Writing,l13011419151518,2016-03-03 14:16:53.951,,
2016-03-03 14:19:50.095,2016-03-03 14:16:56.511,2016-03-03 14:19:50.091,Arms rested on the desk,l13011419151518,2016-03-03 14:16:56.511,,
2016-03-03 14:20:45.533,2016-03-03 14:03:30.949,2016-03-03 14:20:45.519,Wear ON,l13011419151518,2016-03-03 14:03:30.949,,
2016-03-03 14:21:51.857,2016-03-03 14:21:32.531,2016-03-03 14:21:51.843,Elevator,l13011419151518,2016-03-03 14:21:32.531,,
