HEADER_TIME_STAMP,X_ACCELERATION_METERS_PER_SECOND_SQUARED,Y_ACCELERATION_METERS_PER_SECOND_SQUARED,Z_ACCELERATION_METERS_PER_SECOND_SQUARED
2016-04-22 17:00:00.000,0.000,-0.684,0.109
2016-04-22 17:00:00.013,-0.051,-0.754,0.125
2016-04-22 17:00:00.025,-0.090,-0.836,0.129
2016-04-22 17:00:00.038,-0.109,-0.895,0.137
2016-04-22 17:00:00.050,-0.156,-0.898,0.145
2016-04-22 17:00:00.063,-0.242,-0.848,0.188
2016-04-22 17:00:00.075,-0.371,-0.793,0.258
2016-04-22 17:00:00.088,-0.523,-0.801,0.313
2016-04-22 17:00:00.100,-0.668,-0.863,0.301
2016-04-22 17:00:00.113,-0.750,-0.949,0.250
2016-04-22 17:00:00.125,-0.680,-1.039,0.234
2016-04-22 17:00:00.138,-0.563,-1.090,0.230
2016-04-22 17:00:00.150,-0.344,-1.117,0.250
2016-04-22 17:00:00.163,-0.070,-1.086,0.250
2016-04-22 17:00:00.175,0.160,-1.078,0.207
2016-04-22 17:00:00.188,0.344,-1.137,0.211
2016-04-22 17:00:00.200,0.445,-1.238,0.242
2016-04-22 17:00:00.213,0.559,-1.316,0.203
2016-04-22 17:00:00.225,0.691,-1.465,0.094
2016-04-22 17:00:00.238,0.758,-1.613,0.086
2016-04-22 17:00:00.250,0.723,-1.566,0.141
2016-04-22 17:00:00.263,0.648,-1.414,0.227
2016-04-22 17:00:00.275,0.543,-1.344,0.285
2016-04-22 17:00:00.288,0.340,-1.383,0.254
2016-04-22 17:00:00.300,0.102,-1.379,0.211
2016-04-22 17:00:00.313,-0.109,-1.273,0.250
2016-04-22 17:00:00.325,-0.273,-1.164,0.313
2016-04-22 17:00:00.338,-0.332,-1.117,0.324
2016-04-22 17:00:00.350,-0.348,-1.137,0.305
2016-04-22 17:00:00.363,-0.293,-1.125,0.270
2016-04-22 17:00:00.375,-0.168,-1.043,0.234
2016-04-22 17:00:00.388,-0.086,-0.945,0.223
2016-04-22 17:00:00.400,-0.078,-0.832,0.219
2016-04-22 17:00:00.413,-0.133,-0.746,0.203
2016-04-22 17:00:00.425,-0.195,-0.691,0.195
2016-04-22 17:00:00.438,-0.191,-0.621,0.164
2016-04-22 17:00:00.450,-0.188,-0.578,0.160
2016-04-22 17:00:00.463,-0.184,-0.535,0.203
2016-04-22 17:00:00.475,-0.199,-0.500,0.234
2016-04-22 17:00:00.488,-0.215,-0.516,0.254
2016-04-22 17:00:00.500,-0.234,-0.527,0.223
2016-04-22 17:00:00.513,-0.227,-0.566,0.199
2016-04-22 17:00:00.525,-0.184,-0.641,0.207
2016-04-22 17:00:00.538,-0.109,-0.699,0.219
2016-04-22 17:00:00.550,-0.055,-0.762,0.230
2016-04-22 17:00:00.563,-0.055,-0.875,0.277
2016-04-22 17:00:00.575,-0.059,-0.984,0.391
2016-04-22 17:00:00.588,-0.074,-0.984,0.438
2016-04-22 17:00:00.600,-0.148,-0.891,0.344
2016-04-22 17:00:00.613,-0.238,-0.750,0.266
2016-04-22 17:00:00.625,-0.363,-0.664,0.332
2016-04-22 17:00:00.638,-0.496,-0.734,0.527
2016-04-22 17:00:00.650,-0.238,-1.270,0.613
2016-04-22 17:00:00.663,0.582,-2.789,0.363
2016-04-22 17:00:00.675,0.684,-2.777,-0.035
2016-04-22 17:00:00.688,0.445,-1.133,0.207
2016-04-22 17:00:00.700,0.195,-0.375,0.480
2016-04-22 17:00:00.713,0.074,-0.359,0.484
2016-04-22 17:00:00.725,-0.063,-0.461,0.488
2016-04-22 17:00:00.738,-0.195,-0.711,0.523
2016-04-22 17:00:00.750,-0.145,-0.961,0.480
2016-04-22 17:00:00.763,0.004,-1.270,0.297
2016-04-22 17:00:00.775,0.109,-1.742,0.152
2016-04-22 17:00:00.788,0.082,-1.719,0.156
2016-04-22 17:00:00.800,-0.063,-1.305,0.238
2016-04-22 17:00:00.813,-0.043,-1.020,0.254
2016-04-22 17:00:00.825,0.027,-0.902,0.211
2016-04-22 17:00:00.838,0.059,-0.883,0.172
2016-04-22 17:00:00.850,0.090,-0.859,0.117
2016-04-22 17:00:00.863,0.105,-0.813,0.113
2016-04-22 17:00:00.875,0.148,-0.754,0.129
2016-04-22 17:00:00.888,0.160,-0.734,0.141
2016-04-22 17:00:00.900,0.172,-0.738,0.098
2016-04-22 17:00:00.913,0.180,-0.762,0.066
2016-04-22 17:00:00.925,0.168,-0.738,0.082
2016-04-22 17:00:00.938,0.133,-0.699,0.094
2016-04-22 17:00:00.950,0.082,-0.719,0.109
2016-04-22 17:00:00.963,0.012,-0.758,0.113
2016-04-22 17:00:00.975,-0.043,-0.777,0.098
2016-04-22 17:00:00.988,-0.074,-0.793,0.113
2016-04-22 17:00:01.000,-0.102,-0.801,0.129
2016-04-22 17:00:01.013,-0.086,-0.773,0.160
2016-04-22 17:00:01.025,-0.102,-0.715,0.195
2016-04-22 17:00:01.038,-0.160,-0.730,0.262
2016-04-22 17:00:01.050,-0.262,-0.793,0.324
2016-04-22 17:00:01.063,-0.410,-0.863,0.316
2016-04-22 17:00:01.075,-0.559,-0.969,0.289
2016-04-22 17:00:01.088,-0.652,-1.086,0.270
2016-04-22 17:00:01.100,-0.668,-1.184,0.258
2016-04-22 17:00:01.113,-0.520,-1.215,0.293
2016-04-22 17:00:01.125,-0.258,-1.156,0.355
2016-04-22 17:00:01.138,0.070,-1.148,0.406
2016-04-22 17:00:01.150,0.410,-1.195,0.336
2016-04-22 17:00:01.163,0.527,-1.301,0.184
2016-04-22 17:00:01.175,0.668,-1.414,0.133
2016-04-22 17:00:01.188,0.781,-1.336,0.098
2016-04-22 17:00:01.200,0.758,-1.270,0.168
2016-04-22 17:00:01.213,0.637,-1.340,0.191
2016-04-22 17:00:01.225,0.594,-1.355,0.195
2016-04-22 17:00:01.238,0.504,-1.363,0.215
2016-04-22 17:00:01.250,0.344,-1.434,0.223
2016-04-22 17:00:01.263,0.184,-1.465,0.242
2016-04-22 17:00:01.275,-0.008,-1.367,0.246
2016-04-22 17:00:01.288,-0.141,-1.242,0.273
2016-04-22 17:00:01.300,-0.184,-1.145,0.285
2016-04-22 17:00:01.313,-0.203,-1.031,0.266
2016-04-22 17:00:01.325,-0.141,-0.941,0.262
2016-04-22 17:00:01.338,-0.102,-0.879,0.254
2016-04-22 17:00:01.350,-0.094,-0.809,0.230
2016-04-22 17:00:01.363,-0.133,-0.738,0.207
2016-04-22 17:00:01.375,-0.184,-0.672,0.211
2016-04-22 17:00:01.388,-0.215,-0.590,0.215
2016-04-22 17:00:01.400,-0.234,-0.531,0.184
2016-04-22 17:00:01.413,-0.223,-0.496,0.195
2016-04-22 17:00:01.425,-0.246,-0.457,0.188
2016-04-22 17:00:01.438,-0.320,-0.449,0.172
2016-04-22 17:00:01.450,-0.387,-0.488,0.195
2016-04-22 17:00:01.463,-0.426,-0.527,0.238
2016-04-22 17:00:01.475,-0.410,-0.566,0.270
2016-04-22 17:00:01.488,-0.355,-0.629,0.273
2016-04-22 17:00:01.500,-0.332,-0.754,0.258
2016-04-22 17:00:01.513,-0.289,-0.969,0.348
2016-04-22 17:00:01.525,-0.281,-1.113,0.438
2016-04-22 17:00:01.538,-0.363,-1.051,0.430
2016-04-22 17:00:01.550,-0.480,-0.859,0.422
2016-04-22 17:00:01.563,-0.234,-0.738,0.574
2016-04-22 17:00:01.575,0.430,-1.164,0.695
2016-04-22 17:00:01.588,1.188,-2.539,0.227
2016-04-22 17:00:01.600,0.492,-2.551,-0.004
2016-04-22 17:00:01.613,0.246,-0.961,0.305
2016-04-22 17:00:01.625,0.082,-0.359,0.484
2016-04-22 17:00:01.638,-0.094,-0.645,0.441
2016-04-22 17:00:01.650,-0.273,-1.113,0.461
2016-04-22 17:00:01.663,-0.254,-1.348,0.438
2016-04-22 17:00:01.675,-0.008,-1.324,0.309
2016-04-22 17:00:01.688,0.109,-1.250,0.223
2016-04-22 17:00:01.700,0.133,-1.277,0.195
2016-04-22 17:00:01.713,0.105,-1.227,0.211
2016-04-22 17:00:01.725,0.059,-1.070,0.219
2016-04-22 17:00:01.738,0.043,-0.895,0.188
2016-04-22 17:00:01.750,0.102,-0.813,0.176
2016-04-22 17:00:01.763,0.180,-0.797,0.129
2016-04-22 17:00:01.775,0.211,-0.801,0.094
2016-04-22 17:00:01.788,0.242,-0.777,0.086
2016-04-22 17:00:01.800,0.273,-0.727,0.090
2016-04-22 17:00:01.813,0.254,-0.684,0.082
2016-04-22 17:00:01.825,0.215,-0.676,0.070
2016-04-22 17:00:01.838,0.152,-0.688,0.078
2016-04-22 17:00:01.850,0.074,-0.711,0.078
2016-04-22 17:00:01.863,-0.004,-0.762,0.090
2016-04-22 17:00:01.875,-0.059,-0.797,0.094
2016-04-22 17:00:01.888,-0.086,-0.828,0.102
2016-04-22 17:00:01.900,-0.117,-0.836,0.113
2016-04-22 17:00:01.913,-0.176,-0.805,0.141
2016-04-22 17:00:01.925,-0.258,-0.750,0.156
2016-04-22 17:00:01.938,-0.371,-0.707,0.211
2016-04-22 17:00:01.950,-0.488,-0.695,0.270
2016-04-22 17:00:01.963,-0.566,-0.746,0.293
2016-04-22 17:00:01.975,-0.605,-0.879,0.270
2016-04-22 17:00:01.988,-0.590,-1.004,0.207
2016-04-22 17:00:02.000,-0.578,-1.086,0.188
2016-04-22 17:00:02.013,-0.477,-1.145,0.246
2016-04-22 17:00:02.025,-0.227,-1.160,0.336
2016-04-22 17:00:02.038,0.043,-1.148,0.395
2016-04-22 17:00:02.050,0.344,-1.195,0.391
2016-04-22 17:00:02.063,0.531,-1.273,0.309
2016-04-22 17:00:02.075,0.578,-1.328,0.203
2016-04-22 17:00:02.088,0.668,-1.363,0.074
2016-04-22 17:00:02.100,0.703,-1.402,0.094
2016-04-22 17:00:02.113,0.605,-1.414,0.203
2016-04-22 17:00:02.125,0.516,-1.375,0.246
2016-04-22 17:00:02.138,0.477,-1.395,0.309
2016-04-22 17:00:02.150,0.348,-1.508,0.305
2016-04-22 17:00:02.163,0.156,-1.563,0.254
2016-04-22 17:00:02.175,-0.039,-1.402,0.262
