HEADER_TIME_STAMP,START_TIME,STOP_TIME,LABEL_NAME
2016-04-22 17:01:34.000,2016-04-22 17:00:00.000,2016-04-22 17:01:34.000,Walking
2016-04-22 17:01:34.000,2016-04-22 17:00:00.000,2016-04-22 17:01:34.000,Dominant hand
2016-04-22 17:01:34.000,2016-04-22 17:00:00.000,2016-04-22 17:01:34.000,3 mph
2016-04-22 17:01:34.000,2016-04-22 17:00:00.000,2016-04-22 17:01:34.000,Drink
2016-04-22 17:01:34.000,2016-04-22 17:00:00.000,2016-04-22 17:01:34.000,Treadmill
2016-04-22 17:01:34.000,2016-04-22 17:00:00.000,2016-04-22 17:01:34.000,Wear ON
2016-04-22 17:01:35.000,2016-04-22 17:01:34.000,2016-04-22 17:01:35.000,Dominant hand
2016-04-22 17:01:35.000,2016-04-22 17:01:34.000,2016-04-22 17:01:35.000,3 mph
2016-04-22 17:01:35.000,2016-04-22 17:01:34.000,2016-04-22 17:01:35.000,Drink
2016-04-22 17:01:35.000,2016-04-22 17:01:34.000,2016-04-22 17:01:35.000,Treadmill
2016-04-22 17:01:35.000,2016-04-22 17:01:34.000,2016-04-22 17:01:35.000,Wear ON
2016-04-22 17:01:50.000,2016-04-22 17:01:35.000,2016-04-22 17:01:50.000,Treadmill
2016-04-22 17:01:50.000,2016-04-22 17:01:35.000,2016-04-22 17:01:50.000,Wear ON
2016-04-22 17:01:55.000,2016-04-22 17:01:50.000,2016-04-22 17:01:55.000,Treadmill
2016-04-22 17:01:55.000,2016-04-22 17:01:50.000,2016-04-22 17:01:55.000,Walking
2016-04-22 17:01:55.000,2016-04-22 17:01:50.000,2016-04-22 17:01:55.000,Wear ON
2016-04-22 17:01:57.000,2016-04-22 17:01:55.000,2016-04-22 17:01:57.000,3 mph
2016-04-22 17:01:57.000,2016-04-22 17:01:55.000,2016-04-22 17:01:57.000,Walking
2016-04-22 17:01:57.000,2016-04-22 17:01:55.000,2016-04-22 17:01:57.000,Treadmill
2016-04-22 17:01:57.000,2016-04-22 17:01:55.000,2016-04-22 17:01:57.000,Wear ON
2016-04-22 17:01:59.000,2016-04-22 17:01:57.000,2016-04-22 17:01:59.000,3 mph
2016-04-22 17:01:59.000,2016-04-22 17:01:57.000,2016-04-22 17:01:59.000,Dominant hand
2016-04-22 17:01:59.000,2016-04-22 17:01:57.000,2016-04-22 17:01:59.000,Walking
2016-04-22 17:01:59.000,2016-04-22 17:01:57.000,2016-04-22 17:01:59.000,Treadmill
2016-04-22 17:01:59.000,2016-04-22 17:01:57.000,2016-04-22 17:01:59.000,Wear ON
2016-04-22 17:03:59.000,2016-04-22 17:01:59.000,2016-04-22 17:03:59.000,Bag
2016-04-22 17:03:59.000,2016-04-22 17:01:59.000,2016-04-22 17:03:59.000,3 mph
2016-04-22 17:03:59.000,2016-04-22 17:01:59.000,2016-04-22 17:03:59.000,Dominant hand
2016-04-22 17:03:59.000,2016-04-22 17:01:59.000,2016-04-22 17:03:59.000,Walking
2016-04-22 17:03:59.000,2016-04-22 17:01:59.000,2016-04-22 17:03:59.000,Treadmill
2016-04-22 17:03:59.000,2016-04-22 17:01:59.000,2016-04-22 17:03:59.000,Wear ON
2016-04-22 17:04:00.000,2016-04-22 17:03:59.000,2016-04-22 17:04:00.000,Walking
2016-04-22 17:04:00.000,2016-04-22 17:03:59.000,2016-04-22 17:04:00.000,Treadmill
2016-04-22 17:04:00.000,2016-04-22 17:03:59.000,2016-04-22 17:04:00.000,Wear ON
2016-04-22 17:04:01.000,2016-04-22 17:04:00.000,2016-04-22 17:04:01.000,Treadmill
2016-04-22 17:04:01.000,2016-04-22 17:04:00.000,2016-04-22 17:04:01.000,Wear ON
2016-04-22 17:04:34.000,2016-04-22 17:04:01.000,2016-04-22 17:04:34.000,Wear ON
2016-04-22 17:04:40.000,2016-04-22 17:04:34.000,2016-04-22 17:04:40.000,Walking
2016-04-22 17:04:40.000,2016-04-22 17:04:34.000,2016-04-22 17:04:40.000,Treadmill
2016-04-22 17:04:40.000,2016-04-22 17:04:34.000,2016-04-22 17:04:40.000,Wear ON
2016-04-22 17:04:42.000,2016-04-22 17:04:40.000,2016-04-22 17:04:42.000,Walking
2016-04-22 17:04:42.000,2016-04-22 17:04:40.000,2016-04-22 17:04:42.000,Treadmill
2016-04-22 17:04:42.000,2016-04-22 17:04:40.000,2016-04-22 17:04:42.000,3 mph
2016-04-22 17:04:42.000,2016-04-22 17:04:40.000,2016-04-22 17:04:42.000,Wear ON
2016-04-22 17:04:44.000,2016-04-22 17:04:42.000,2016-04-22 17:04:44.000,Dominant hand
2016-04-22 17:04:44.000,2016-04-22 17:04:42.000,2016-04-22 17:04:44.000,Walking
2016-04-22 17:04:44.000,2016-04-22 17:04:42.000,2016-04-22 17:04:44.000,Treadmill
2016-04-22 17:04:44.000,2016-04-22 17:04:42.000,2016-04-22 17:04:44.000,3 mph
2016-04-22 17:04:44.000,2016-04-22 17:04:42.000,2016-04-22 17:04:44.000,Wear ON
2016-04-22 17:04:52.000,2016-04-22 17:04:44.000,2016-04-22 17:04:52.000,Dominant hand
2016-04-22 17:04:52.000,2016-04-22 17:04:44.000,2016-04-22 17:04:52.000,Walking
2016-04-22 17:04:52.000,2016-04-22 17:04:44.000,2016-04-22 17:04:52.000,Treadmill
2016-04-22 17:04:52.000,2016-04-22 17:04:44.000,2016-04-22 17:04:52.000,3 mph
2016-04-22 17:04:52.000,2016-04-22 17:04:44.000,2016-04-22 17:04:52.000,Phone
2016-04-22 17:04:52.000,2016-04-22 17:04:44.000,2016-04-22 17:04:52.000,Wear ON
2016-04-22 17:04:53.000,2016-04-22 17:04:52.000,2016-04-22 17:04:53.000,Dominant hand
2016-04-22 17:04:53.000,2016-04-22 17:04:52.000,2016-04-22 17:04:53.000,Walking
2016-04-22 17:04:53.000,2016-04-22 17:04:52.000,2016-04-22 17:04:53.000,Treadmill
2016-04-22 17:04:53.000,2016-04-22 17:04:52.000,2016-04-22 17:04:53.000,Non-dominant hand
2016-04-22 17:04:53.000,2016-04-22 17:04:52.000,2016-04-22 17:04:53.000,3 mph
2016-04-22 17:04:53.000,2016-04-22 17:04:52.000,2016-04-22 17:04:53.000,Phone
2016-04-22 17:04:53.000,2016-04-22 17:04:52.000,2016-04-22 17:04:53.000,Wear ON
2016-04-22 17:05:55.000,2016-04-22 17:04:53.000,2016-04-22 17:05:55.000,Walking
2016-04-22 17:05:55.000,2016-04-22 17:04:53.000,2016-04-22 17:05:55.000,Treadmill
2016-04-22 17:05:55.000,2016-04-22 17:04:53.000,2016-04-22 17:05:55.000,Non-dominant hand
2016-04-22 17:05:55.000,2016-04-22 17:04:53.000,2016-04-22 17:05:55.000,3 mph
2016-04-22 17:05:55.000,2016-04-22 17:04:53.000,2016-04-22 17:05:55.000,Phone
2016-04-22 17:05:55.000,2016-04-22 17:04:53.000,2016-04-22 17:05:55.000,Wear ON
2016-04-22 17:05:56.000,2016-04-22 17:05:55.000,2016-04-22 17:05:56.000,3 mph
2016-04-22 17:05:56.000,2016-04-22 17:05:55.000,2016-04-22 17:05:56.000,Phone
