HEADER_TIME_STAMP,START_TIME,STOP_TIME,LABEL_NAME
2016-05-25 10:00:47.000,2016-05-25 10:00:06.000,2016-05-25 10:00:47.000,Wear ON
2016-05-25 10:00:48.000,2016-05-25 10:00:47.000,2016-05-25 10:00:48.000,Walking
2016-05-25 10:00:48.000,2016-05-25 10:00:47.000,2016-05-25 10:00:48.000,Wear ON
2016-05-25 10:00:49.000,2016-05-25 10:00:48.000,2016-05-25 10:00:49.000,Treadmill
2016-05-25 10:00:49.000,2016-05-25 10:00:48.000,2016-05-25 10:00:49.000,Walking
2016-05-25 10:00:49.000,2016-05-25 10:00:48.000,2016-05-25 10:00:49.000,Wear ON
2016-05-25 10:00:50.000,2016-05-25 10:00:49.000,2016-05-25 10:00:50.000,1 mph
2016-05-25 10:00:50.000,2016-05-25 10:00:49.000,2016-05-25 10:00:50.000,Treadmill
2016-05-25 10:00:50.000,2016-05-25 10:00:49.000,2016-05-25 10:00:50.000,Walking
2016-05-25 10:00:50.000,2016-05-25 10:00:49.000,2016-05-25 10:00:50.000,Wear ON
2016-05-25 10:00:57.000,2016-05-25 10:00:50.000,2016-05-25 10:00:57.000,1 mph
2016-05-25 10:00:57.000,2016-05-25 10:00:50.000,2016-05-25 10:00:57.000,Arms rested on the desk
2016-05-25 10:00:57.000,2016-05-25 10:00:50.000,2016-05-25 10:00:57.000,Treadmill
2016-05-25 10:00:57.000,2016-05-25 10:00:50.000,2016-05-25 10:00:57.000,Walking
2016-05-25 10:00:57.000,2016-05-25 10:00:50.000,2016-05-25 10:00:57.000,Wear ON
2016-05-25 10:03:44.000,2016-05-25 10:00:57.000,2016-05-25 10:03:44.000,Flat grade
2016-05-25 10:03:44.000,2016-05-25 10:00:57.000,2016-05-25 10:03:44.000,1 mph
2016-05-25 10:03:44.000,2016-05-25 10:00:57.000,2016-05-25 10:03:44.000,Arms rested on the desk
2016-05-25 10:03:44.000,2016-05-25 10:00:57.000,2016-05-25 10:03:44.000,Treadmill
2016-05-25 10:03:44.000,2016-05-25 10:00:57.000,2016-05-25 10:03:44.000,Walking
2016-05-25 10:03:44.000,2016-05-25 10:00:57.000,2016-05-25 10:03:44.000,Wear ON
2016-05-25 10:03:45.000,2016-05-25 10:03:44.000,2016-05-25 10:03:45.000,Treadmill
2016-05-25 10:03:45.000,2016-05-25 10:03:44.000,2016-05-25 10:03:45.000,Walking
2016-05-25 10:03:45.000,2016-05-25 10:03:44.000,2016-05-25 10:03:45.000,Wear ON
2016-05-25 10:03:57.000,2016-05-25 10:03:45.000,2016-05-25 10:03:57.000,Wear ON
2016-05-25 10:03:58.000,2016-05-25 10:03:57.000,2016-05-25 10:03:58.000,Walking
2016-05-25 10:03:58.000,2016-05-25 10:03:57.000,2016-05-25 10:03:58.000,Wear ON
2016-05-25 10:03:59.000,2016-05-25 10:03:58.000,2016-05-25 10:03:59.000,Walking
2016-05-25 10:03:59.000,2016-05-25 10:03:58.000,2016-05-25 10:03:59.000,Arms rested on the desk
2016-05-25 10:03:59.000,2016-05-25 10:03:58.000,2016-05-25 10:03:59.000,Treadmill
2016-05-25 10:03:59.000,2016-05-25 10:03:58.000,2016-05-25 10:03:59.000,Wear ON
2016-05-25 10:06:10.000,2016-05-25 10:03:59.000,2016-05-25 10:06:10.000,Walking
2016-05-25 10:06:10.000,2016-05-25 10:03:59.000,2016-05-25 10:06:10.000,2 mph
2016-05-25 10:06:10.000,2016-05-25 10:03:59.000,2016-05-25 10:06:10.000,Arms rested on the desk
