HEADER_TIME_STAMP,START_TIME,STOP_TIME,LABEL_NAME,LABEL_ID,RATING_TIME_STAMP,RATING_INTENSITY,RATING_CONFIDENCE
2015-12-04 17:00:00.084,2015-12-04 17:00:00.000,2015-12-04 17:00:00.071,Reclining,l13011419151518,2015-12-04 16:57:25.021,,
2015-12-04 17:00:00.124,2015-12-04 17:00:00.000,2015-12-04 17:00:00.071,Web Browsing,l13011419151518,2015-12-04 16:57:39.064,,
2015-12-04 17:00:00.138,2015-12-04 17:00:00.000,2015-12-04 17:00:00.071,Texting,l13011419151518,2015-12-04 16:57:40.777,,
2015-12-04 17:02:41.398,2015-12-04 17:01:04.958,2015-12-04 17:02:41.394,Biking,l13011419151518,2015-12-04 17:01:04.958,,
2015-12-04 17:02:41.405,2015-12-04 17:01:05.729,2015-12-04 17:02:41.394,300 KPM/Min,l13011419151518,2015-12-04 17:01:05.729,,
2015-12-04 17:03:16.983,2015-12-04 17:03:16.424,2015-12-04 17:03:16.964,Walking,l13011419151518,2015-12-04 17:03:16.424,,
2015-12-04 17:04:44.499,2015-12-04 17:03:19.528,2015-12-04 17:04:44.493,1 mph,l13011419151518,2015-12-04 17:03:19.528,,
2015-12-04 17:06:07.770,2015-12-04 17:03:17.527,2015-12-04 17:06:07.751,Walking,l13011419151518,2015-12-04 17:03:17.527,,
2015-12-04 17:06:07.795,2015-12-04 17:03:18.126,2015-12-04 17:06:07.751,Treadmill,l13011419151518,2015-12-04 17:03:18.126,,
2015-12-04 17:06:07.806,2015-12-04 17:03:21.275,2015-12-04 17:06:07.751,Arms On Desk,l13011419151518,2015-12-04 17:03:21.275,,
2015-12-04 17:06:07.818,2015-12-04 17:04:44.502,2015-12-04 17:06:07.751,2 mph,l13011419151518,2015-12-04 17:04:44.502,,
2015-12-04 17:07:28.959,2015-12-04 17:06:18.462,2015-12-04 17:07:28.955,Walking,l13011419151518,2015-12-04 17:06:18.462,,
2015-12-04 17:07:28.969,2015-12-04 17:06:19.017,2015-12-04 17:07:28.955,Treadmill,l13011419151518,2015-12-04 17:06:19.017,,
2015-12-04 17:07:28.976,2015-12-04 17:06:21.981,2015-12-04 17:07:28.955,3.5 mph,l13011419151518,2015-12-04 17:06:21.981,,
2015-12-04 17:07:28.983,2015-12-04 17:06:43.419,2015-12-04 17:07:28.955,Arms On Desk,l13011419151518,2015-12-04 17:06:43.419,,
2015-12-04 17:08:46.486,2015-12-04 17:07:36.137,2015-12-04 17:08:46.473,Walking,l13011419151518,2015-12-04 17:07:36.137,,
2015-12-04 17:08:46.502,2015-12-04 17:07:37.105,2015-12-04 17:08:46.473,Treadmill,l13011419151518,2015-12-04 17:07:37.105,,
